user,live_date,message_selector,classes,rawText,raw
keketherealest,2023-11-18 00:52:50,tippity tappity,[[]],tippity tappity,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">tippity tappity</span></span>]"
revnge999,2023-11-18 00:52:50,THAT MF IS INSANE,[[]],THAT MF IS INSANE,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">THAT MF IS INSANE</span></span>]"
halfawiseguy6044,2023-11-18 00:52:50,....,[[]],....,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">....</span></span>]"
yoooj5,2023-11-18 00:52:50,WTF,[[]],WTF,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">WTF</span></span>]"
joshua67ashley,2023-11-18 00:52:51,yooooo,[[]],yooooo,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">yooooo</span></span>]"
malachijb,2023-11-18 00:52:51,LMAOOO,[[]],LMAOOO,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">LMAOOO</span></span>]"
vtlrlive,2023-11-18 00:52:51,??????????????????????????????????????????,[[]],??????????????????????????????????????????,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">??????????????????????????????????????????</span></span>]"
jayyyek,2023-11-18 00:52:51,I THOUGHT IT WAS IRL,[[]],I THOUGHT IT WAS IRL,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">I THOUGHT IT WAS IRL</span></span>]"
cash0utbean0,2023-11-18 00:52:51,Lmaooooo,[[]],Lmaooooo,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Lmaooooo</span></span>]"
chefjones5,2023-11-18 00:52:51,ON HOOD,[[]],ON HOOD,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ON HOOD</span></span>]"
extremdramaqueen__,2023-11-18 00:52:51,Wtffff,[[]],Wtffff,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Wtffff</span></span>]"
itsgiannababyy,2023-11-18 00:52:51,EW,[[]],EW,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">EW</span></span>]"
RoastinHerb,2023-11-18 00:52:52,HAHAHAHHAHAHA,[[]],HAHAHAHHAHAHA,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">HAHAHAHHAHAHA</span></span>]"
rodorigesuuu,2023-11-18 00:52:52,omE,[[]],omE,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">omE</span></span>]"
trinidadking304,2023-11-18 00:52:52,HE TALK LIKE SHAGGY,[[]],HE TALK LIKE SHAGGY,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">HE TALK LIKE SHAGGY</span></span>]"
vtlrlive,2023-11-18 00:52:52,LDAM22,[[]],LDAM22,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">LDAM22</span></span>]"
mocha_wood,2023-11-18 00:52:52,Crip Mac scary ass fr,[[]],Crip Mac scary ass fr,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Crip Mac scary ass fr</span></span>]"
rodorigesuuu,2023-11-18 00:52:52,omE,[[]],omE,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">omE</span></span>]"
pinkyythagoddess,2023-11-18 00:52:53,,[[]],,"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumRUSERIOUS"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_1b581184b8da4ca7a48bacc2d8fc4bc8/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_1b581184b8da4ca7a48bacc2d8fc4bc8/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_1b581184b8da4ca7a48bacc2d8fc4bc8/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_1b581184b8da4ca7a48bacc2d8fc4bc8/default/dark/3.0 4x""/></div></span></div></div></span>]"
ArkadiusAndKaiser,2023-11-18 00:52:53,???,[[]],???,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">???</span></span>]"
abreezo1,2023-11-18 00:52:53,YB DROPPED BRO LISTEN,[[]],YB DROPPED BRO LISTEN,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">YB DROPPED BRO LISTEN</span></span>]"
slimerella,2023-11-18 00:52:53,what,[[]],what,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">what</span></span>]"
kc3duplicate,2023-11-18 00:52:53,yeeooo,[[]],yeeooo,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">yeeooo</span></span>]"
yobrodiie,2023-11-18 00:52:53,THIS IS CUCK WATCHING,[[]],THIS IS CUCK WATCHING,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">THIS IS CUCK WATCHING</span></span>]"
PutoToMars,2023-11-18 00:52:54,lmao,[[]],lmao,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">lmao</span></span>]"
itsgiannababyy,2023-11-18 00:52:54,WTF,[[]],WTF,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">WTF</span></span>]"
itskowkow,2023-11-18 00:52:54,W raid,[[]],W raid,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">W raid</span></span>]"
